starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 24 22:58:21 2021	1627131501	5	8	12	7
Sat Jul 24 22:58:22 2021	1627131502	0	12	12	12
Sat Jul 24 22:58:22 2021	1627131502	1	11	12	11
Sat Jul 24 22:58:22 2021	1627131502	1	11	12	11
Sat Jul 24 22:58:22 2021	1627131502	0	12	12	12
Sat Jul 24 22:58:21 2021	1627131501	1	12	12	11
Sat Jul 24 22:58:22 2021	1627131502	1	11	12	11
Sat Jul 24 22:58:22 2021	1627131502	1	12	12	11
Sat Jul 24 22:58:22 2021	1627131502	1	11	12	11
Sat Jul 24 22:58:21 2021	1627131501	4	8	12	8
Sat Jul 24 22:58:22 2021	1627131502	1	11	12	11
Sat Jul 24 22:58:22 2021	1627131502	1	11	12	11
Sat Jul 24 22:58:21 2021	1627131501	0	12	12	12
Sat Jul 24 22:58:21 2021	1627131501	1	12	12	11
Sat Jul 24 22:58:21 2021	1627131501	1	12	12	11
Sat Jul 24 22:58:22 2021	1627131502	0	12	13	12
Sat Jul 24 22:58:22 2021	1627131502	1	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	1	12	13	12
Sat Jul 24 22:58:22 2021	1627131502	1	11	13	11
Sat Jul 24 22:58:22 2021	1627131502	0	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	4	9	13	9
Sat Jul 24 22:58:21 2021	1627131501	1	12	13	11
Sat Jul 24 22:58:22 2021	1627131502	1	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	1	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	1	11	13	11
Sat Jul 24 22:58:21 2021	1627131501	1	11	13	11
Sat Jul 24 22:58:21 2021	1627131501	2	11	13	11
Sat Jul 24 22:58:21 2021	1627131501	1	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	1	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	1	12	13	12
Sat Jul 24 22:58:22 2021	1627131502	1	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	2	11	13	11
Sat Jul 24 22:58:22 2021	1627131502	1	12	13	12
Sat Jul 24 22:58:22 2021	1627131502	1	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	0	12	13	12
Sat Jul 24 22:58:22 2021	1627131502	0	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	1	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	1	12	13	12
Sat Jul 24 22:58:22 2021	1627131502	1	12	13	12
Sat Jul 24 22:58:22 2021	1627131502	1	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	2	11	13	11
Sat Jul 24 22:58:21 2021	1627131501	0	13	13	12
Sat Jul 24 22:58:21 2021	1627131501	1	12	13	12
Sat Jul 24 22:58:22 2021	1627131502	0	13	13	13
Sat Jul 24 22:58:22 2021	1627131502	1	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	1	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	1	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	1	12	13	12
Sat Jul 24 22:58:22 2021	1627131502	2	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	5	8	13	8
Sat Jul 24 22:58:21 2021	1627131501	0	13	13	12
Sat Jul 24 22:58:21 2021	1627131501	2	11	13	11
Sat Jul 24 22:58:21 2021	1627131501	1	12	13	12
Sat Jul 24 22:58:22 2021	1627131502	0	13	13	13
Sat Jul 24 22:58:21 2021	1627131501	1	13	13	12
Sat Jul 24 22:58:21 2021	1627131501	2	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	0	13	13	13
Sat Jul 24 22:58:21 2021	1627131501	1	12	13	12
Sat Jul 24 22:58:22 2021	1627131502	1	12	13	9
Sat Jul 24 22:58:22 2021	1627131502	1	12	13	12
Sat Jul 24 22:58:21 2021	1627131501	2	11	13	11
